profile_name,rating,review_topic,time_place,color,review_text,model_phone,aspect,sentiment,aspect_text,review_score
bruce h,5.0 out of 5 stars,nice,reviewed united state june,service provider unlockedcolor blue titaniumsize gb,got nice phone good battery half price x mobile,iphone 15 pro,battery,positive,battery got nice phone good battery half price x mobile,5
amos,5.0 out of 5 stars,best phone,reviewed united state april,color titanium whitesilversize gbstyle ultrapattern name phone,best phone ive ever owned love,samsung s24,other,positive,other best phone ive ever owned love,5
tobi,3.0 out of 5 stars,galaxy g,reviewed germany october,black,device really good many function samsung apps bit annoying ignore unfortunately star workmanship device high quality therefore probably low price otherwise great borrower like,samsung a14 5g,price,positive,price device really good many function samsung apps bit annoying ignore unfortunately star workmanship device high quality therefore probably low price otherwise great borrower like,5
clint c,5.0 out of 5 stars,wonderful camera wonderful computer oh phone,reviewed united state march,color titanium silverbluesize gbstyle ultrapattern name phone,fantastic phone upgrade wife ultra love old overdue im jealous enough get another one sn ultras great phone wait ultimate,samsung s24,other,positive,other fantastic phone upgrade wife ultra love old overdue im jealous enough get another one sn ultras great phone wait ultimate,5
leeandre,5.0 out of 5 stars,amazing,reviewed united state march,color titanium blacksize gbstyle ultrapattern name phone,best thing couldve ever bought,samsung s24,other,positive,other best thing couldve ever bought,5
levi haplea,4.0 out of 5 stars,honestly impressive,reviewed united state july,size gbstyle black,gotta say know think phone spent good amount time month safely say best phone long dont need charge night pretty easy get used reason put star strange reason lte data seen hotspot data used vpn would bad carrier limited hotspot data unlimited lte data lead confusion like otherwise great,oneplus 12.csv,battery,positive,battery gotta say know think phone spent good amount time month safely say best phone long dont need charge night pretty easy get used reason put star strange reason lte data seen hotspot data used vpn would bad carrier limited hotspot data unlimited lte data lead confusion like otherwise great,5
wanda,5.0 out of 5 stars,optimal priceperformance ratio,reviewed italy august,black,great buy,samsung a14 5g,other,positive,other great buy,5
mike hiha,5.0 out of 5 stars,long battery life ideal,reviewed netherlands may,black,doable,samsung a14 5g,other,neutral,other doable,3
ute riehm,2.0 out of 5 stars,recharge,reviewed germany february,black,problem charging cable kept falling week cell phone charge result plug carefully moved anything would fall bought problem nd cell phone buy dont hold charging cable correctly send back right away cell phone actually quite good otherwise work without problem,samsung a14 5g,battery,positive,battery problem charging cable kept falling week cell phone charge result plug carefully moved anything would fall bought problem nd cell phone buy dont hold charging cable correctly send back right away cell phone actually quite good otherwise work without problem,5
salvatore,5.0 out of 5 stars,arrived quickly great,reviewed italy may,black,arrived quickly great,samsung a14 5g,software,positive,software arrived quickly great,5
amazon customer,5.0 out of 5 stars,great phone,reviewed united state may,size gbstyle green,upgraded oneplus fantastic fast great camera battery life,oneplus 12.csv,battery,positive,battery upgraded oneplus fantastic fast great camera battery life,5
chris c,5.0 out of 5 stars,great phone half price iphone galaxy,reviewed united state november,size gbstyle black,incredible phone purchased prime day deal early october speedy processor good amount ram rolled oxygen android update week ago spec fantastic camera good camera great megapixel sony hasselblad lens make great photograph x optical zoom x insensor zoom x digital zoom even screwing around digital zoom night shooting moon digital grainy great camera phone cant beat price bracket,oneplus 12.csv,camera,positive,camera incredible phone purchased prime day deal early october speedy processor good amount ram rolled oxygen android update week ago spec fantastic camera good camera great megapixel sony hasselblad lens make great photograph x optical zoom x insensor zoom x digital zoom even screwing around digital zoom night shooting moon digital grainy great camera phone cant beat price bracket,5
absolute garbage,5.0 out of 5 stars,unknown,reviewed canada january,size gbcolor black,absolutely worth every penny,nothing 2a,other,positive,other absolutely worth every penny,5
francesca,1.0 out of 5 stars,dont like,reviewed italy january,black,unfortunately dont feel comfortable mobile phone battery doesnt last long think faulty big problem internet never cell phone cant pair car tried tried doesnt even pair smart watch mean im feeling well ive already taken step send back first time havent comfortable samsung,samsung a14 5g,battery,neutral,battery unfortunately dont feel comfortable mobile phone battery doesnt last long think faulty big problem internet never cell phone cant pair car tried tried doesnt even pair smart watch mean im feeling well ive already taken step send back first time havent comfortable samsung,3
tayler,4.0 out of 5 stars,minor inconvenience easy solved,reviewed united state april,service provider attcolor natural titaniumsize gb,absolutely perfect almost every way came untouched battery back glass clean frame mark im even sure ding something chipped havent tried wipe issue ran screen water beading layer completely gone probably specific technique get scratch biggie extra dollar screen protector mimic feel clean screen cause dont want phone smudge easily besides great camera perfectly fine phone came ready setup look clean besides one ding im unsure even ding doesnt even identify replaced part likely back glass repair phone definitely worth,iphone 15 pro,battery,positive,battery absolutely perfect almost every way came untouched battery back glass clean frame mark im even sure ding something chipped havent tried wipe issue ran screen water beading layer completely gone probably specific technique get scratch biggie extra dollar screen protector mimic feel clean screen cause dont want phone smudge easily besides great camera perfectly fine phone came ready setup look clean besides one ding im unsure even ding doesnt even identify replaced part likely back glass repair phone definitely worth,5
cg,5.0 out of 5 stars,good phone,reviewed united state june,service provider unlockedcolor natural titaniumsize gb,phone received excellent condition described scratch screen body battery health cycle since phone activated dec,iphone 15 pro,battery,positive,battery phone received excellent condition described scratch screen body battery health cycle since phone activated dec,5
md wright,5.0 out of 5 stars,oneplus everything phone back,reviewed united state march,size gbstyle green,given finding suitable replacement dying oneplus pro battery health usbc port various radio acting finally stumbled onto seriesi first tried r hated camera honest still dont like pointandshoot performance one v pro gcam app love optical zoom lens ill figure way make rest cam cluster work seems suffer mostly indoors main lens there weird push toward lack depthoffield digital imaging sensor postprocessjng dont know day im loving much dont shoot video hardly mp selfie cam seems like overkill camera business aside phone like laptop hold use anywhere one handim oneplus guy last series didnt seem worth upgrade thing ridiculously powerful anything else imagine phone customization really force dig basic stuff easy get toi dont care coloros folk sayoxygenos anyone need dont need color notification icon lock screen give break need thousand wallpaper stuff choose zedge app free exhaustiveand im much style honest backplate green thing gorgeous device surface ive ever seen really didnt think blue backing pro could beaten fuhgettaboutit wish could bring use thing without case attractivethis thing gbgb version much storage laptop twice much ram charge wired charger included thebox heresamsung google sony halfhour wireless hour charge seems last forever sometimes seems like take hour two indicator come old nagging wheres charger feeling really nice admittedly completely banished head yet honestly feel like need charge car supervooc w car charger minute day never home im seriously considering turning charge battery life saving thingymabobfeaturesettingthe performance breathtaking honestly dont think im going bother replacing yearold dell inspiron finally give ghost good value compared brand flagship originally set spend new phone complaint though understand effect postcovid tech economics ill sacrifice somewhere else hopefully itll hold another year like pro didoneplus really knocked park one,oneplus 12.csv,battery,positive,battery given finding suitable replacement dying oneplus pro battery health usbc port various radio acting finally stumbled onto seriesi first tried r hated camera honest still dont like pointandshoot performance one v pro gcam app love optical zoom lens ill figure way make rest cam cluster work seems suffer mostly indoors main lens there weird push toward lack depthoffield digital imaging sensor postprocessjng dont know day im loving much dont shoot video hardly mp selfie cam seems like overkill camera business aside phone like laptop hold use anywhere one handim oneplus guy last series didnt seem worth upgrade thing ridiculously powerful anything else imagine phone customization really force dig basic stuff easy get toi dont care coloros folk sayoxygenos anyone need dont need color notification icon lock screen give break need thousand wallpaper stuff choose zedge app free exhaustiveand im much style honest backplate green thing gorgeous device surface ive ever seen really didnt think blue backing pro could beaten fuhgettaboutit wish could bring use thing without case attractivethis thing gbgb version much storage laptop twice much ram charge wired charger included thebox heresamsung google sony halfhour wireless hour charge seems last forever sometimes seems like take hour two indicator come old nagging wheres charger feeling really nice admittedly completely banished head yet honestly feel like need charge car supervooc w car charger minute day never home im seriously considering turning charge battery life saving thingymabobfeaturesettingthe performance breathtaking honestly dont think im going bother replacing yearold dell inspiron finally give ghost good value compared brand flagship originally set spend new phone complaint though understand effect postcovid tech economics ill sacrifice somewhere else hopefully itll hold another year like pro didoneplus really knocked park one,5
kevin c,5.0 out of 5 stars,one person found helpful,reviewed united state september,size gbstyle green,report,oneplus 12.csv,other,neutral,other report,3
mike jones,3.0 out of 5 stars,disregard product information oled display lcd screen,reviewed united state june,color aurora purple global rom,curious claim bit color display contrast ration believing oled phone expecting see screen bursting rich color however removing box powering instead met lcd screen washed color praise device offering many different display possibility setting find best optimal choice end day saturated lcd panel still doesnt compare saturated oled warnedthe product detail incorrect phone oled display,redmi note 13 pro,battery,positive,battery curious claim bit color display contrast ration believing oled phone expecting see screen bursting rich color however removing box powering instead met lcd screen washed color praise device offering many different display possibility setting find best optimal choice end day saturated lcd panel still doesnt compare saturated oled warnedthe product detail incorrect phone oled display,5
umberto,2.0 out of 5 stars,model annoying flaw,reviewed italy june,black,absolutely recommend buying cell phone dont buy ignition defect use often turn even press power button repeatedly found defect two cell phone model video youtube talk dont fooled advantageous price worth,samsung a14 5g,battery,positive,battery absolutely recommend buying cell phone dont buy ignition defect use often turn even press power button repeatedly found defect two cell phone model video youtube talk dont fooled advantageous price worth,5
mario jos chang rosales,4.0 out of 5 stars,report,reviewed united state november,size gbstyle green,translate review english,oneplus 12.csv,other,neutral,other translate review english,3
virginia r,5.0 out of 5 stars,report,reviewed united state may,color ocean teal,love amooooo new redmi note pro beautiful,redmi note 13 pro,other,positive,other love amooooo new redmi note pro beautiful,5
heinz denis,1.0 out of 5 stars,scrap,reviewed germany february,black,phone delivered without nfc supplier refuse change anything cell phone useless,samsung a14 5g,other,negative,other phone delivered without nfc supplier refuse change anything cell phone useless,1
tm,5.0 out of 5 stars,great disappointment changed title suddenly,reviewed france march,blue global rom,price told ulefone completely rotten xiaomi poco pro perfect first use today see time frankly provide back cover already screen protector front already screen protector front fluid see last time delighted capture connection old ulefone phone receive even network receive message frankly hope last phone day bug see uu april even month bug week charge restart recharges also charge longer logo charge end phone seemed great last month,poco m6 pro,battery,positive,battery price told ulefone completely rotten xiaomi poco pro perfect first use today see time frankly provide back cover already screen protector front already screen protector front fluid see last time delighted capture connection old ulefone phone receive even network receive message frankly hope last phone day bug see uu april even month bug week charge restart recharges also charge longer logo charge end phone seemed great last month,5
michelle,5.0 out of 5 stars,read review,reviewed united state april,service provider unlockedcolor white titaniumsize tb,honestly veryyyy skeptical star review especially talking screen defect butttt pleased phone arrived day early dent side scratch got set fine area screen work far im satisfied,iphone 15 pro,screen,positive,screen honestly veryyyy skeptical star review especially talking screen defect butttt pleased phone arrived day early dent side scratch got set fine area screen work far im satisfied,5
paul humphries,5.0 out of 5 stars,unknown,reviewed united kingdom march,size gbcolor black,looking cheap top phone look phone keep daily value money itll keep game interested gaming phone good weight hold charge long time great graphic run smoothly super easy phone use fully customisable phone feel great hand hand look brilliant sound really good screen top quality storage brilliant range different colour,nothing 2a,battery,positive,battery looking cheap top phone look phone keep daily value money itll keep game interested gaming phone good weight hold charge long time great graphic run smoothly super easy phone use fully customisable phone feel great hand hand look brilliant sound really good screen top quality storage brilliant range different colour,5
thomas neumann,5.0 out of 5 stars,good cellphone,reviewed germany october,black,purpose good cell phone,samsung a14 5g,software,positive,software purpose good cell phone,5
sakala,5.0 out of 5 stars,quality,reviewed united state april,color titanium graysize gbstyle ultrapattern name phone,expected superb samsung cellular device everything wanted needed,samsung s24,other,positive,other expected superb samsung cellular device everything wanted needed,5
sofia,4.0 out of 5 stars,satisfied,reviewed united state march,service provider unlockedcolor midnightsize gb,love iteverything awesome work smooth,iphone 13,other,positive,other love iteverything awesome work smooth,5
heinrich,2.0 out of 5 stars,information technology,reviewed germany august,black,description german mobile phone nfc payment option according samsung possible cell phone manufactured panama,samsung a14 5g,software,neutral,software description german mobile phone nfc payment option according samsung possible cell phone manufactured panama,3
clara harris,5.0 out of 5 stars,renewed iphoneunlocked,reviewed united state april,service provider unlockedcolor bluesize gb,purchased phone grandson comparison iphones better speed average better price renewed iphone must working well havent heard grandson since unless call,iphone 13,performance,positive,performance purchased phone grandson comparison iphones better speed average better price renewed iphone must working well havent heard grandson since unless call,5
whiterabbit,5.0 out of 5 stars,exactly described,reviewed united state february,size gbstyle black,let say everyone afford brand new phone every phone labeled used good come way phone came time delay came original box box little damage around corner nothing significant phone like brand new phone thing missing gave evidence wasnt protective film cover screen new phone came everything new phone would like new upon turning able set rather quickly including esim problem day complaint returned used pixel pro overheating problem im glad phone amazing dont second guess like see chance youll love also problem seller day said would phone perfect sometimes dont get described item sometimes take chance sometimes get lucky like time thank honesty would definitely buy,oneplus 12.csv,screen,positive,screen let say everyone afford brand new phone every phone labeled used good come way phone came time delay came original box box little damage around corner nothing significant phone like brand new phone thing missing gave evidence wasnt protective film cover screen new phone came everything new phone would like new upon turning able set rather quickly including esim problem day complaint returned used pixel pro overheating problem im glad phone amazing dont second guess like see chance youll love also problem seller day said would phone perfect sometimes dont get described item sometimes take chance sometimes get lucky like time thank honesty would definitely buy,5
luigi fabbri,1.0 out of 5 stars,package sent back inadequate,reviewed italy september,black,good evening still waiting refund package returned inadequate want answer soon possible,samsung a14 5g,software,positive,software good evening still waiting refund package returned inadequate want answer soon possible,5
jcorraini,2.0 out of 5 stars,read detail buying,reviewed united state march,size gbcolor milk,give pas lack wireless charging plastic construction lack esim unbelievable kinda screwed,nothing 2a,battery,negative,battery give pas lack wireless charging plastic construction lack esim unbelievable kinda screwed,1
christian mueller,2.0 out of 5 stars,spanish version,reviewed germany december,black,make sure galaxy ap sold nfc function probably built spanish market reason returned device return refund hasslefree thanks otherwise phone clunky photo quality line price low end still good inexpensive choice many,samsung a14 5g,camera,positive,camera make sure galaxy ap sold nfc function probably built spanish market reason returned device return refund hasslefree thanks otherwise phone clunky photo quality line price low end still good inexpensive choice many,5
jesus fuentes,4.0 out of 5 stars,people found helpful,reviewed united state may,service provider unlockedcolor natural titaniumsize gb,report,iphone 15 pro,other,neutral,other report,3
nicola mega,1.0 out of 5 stars,product working,reviewed italy august,black,cell phone problem camera,samsung a14 5g,camera,neutral,camera cell phone problem camera,3
kathy,4.0 out of 5 stars,ok,reviewed united state may,size gbstyle green,charger came phone already failed sure cord wall plugin pert wouldnt charge phone markup original screenshots thin cant adjust go photo need thicker line started fast seems slowed least one app daily,oneplus 12.csv,battery,neutral,battery charger came phone already failed sure cord wall plugin pert wouldnt charge phone markup original screenshots thin cant adjust go photo need thicker line started fast seems slowed least one app daily,3
joseph aguilar,5.0 out of 5 stars,good,reviewed united state may,service provider unlockedcolor natural titaniumsize gb,month problem great choice,iphone 15 pro,other,positive,other month problem great choice,5
random guy internet,5.0 out of 5 stars,fast charging great battery life,reviewed united state november,size gbstyle green,camera good photo quality subjective fanboys tell phone take best picture applesamsungpixel user especially half price flag ship phone get half quality sure tech youtubers list best bang buck smart phone far havent issue ive gotten much hour screen time hour charging heavy usage youtube game social medium podcasts average hour screen time daily quickly charge full half hour included charger gripe volume button side power button seems opposite every smart phone ive ever owned,oneplus 12.csv,battery,positive,battery camera good photo quality subjective fanboys tell phone take best picture applesamsungpixel user especially half price flag ship phone get half quality sure tech youtubers list best bang buck smart phone far havent issue ive gotten much hour screen time hour charging heavy usage youtube game social medium podcasts average hour screen time daily quickly charge full half hour included charger gripe volume button side power button seems opposite every smart phone ive ever owned,5
sonja langer,5.0 out of 5 stars,super fast delivery,reviewed germany march,black,everything perfect super fast delivery thank much,samsung a14 5g,performance,positive,performance everything perfect super fast delivery thank much,5
dave boston,4.0 out of 5 stars,decent value gb iphone pro,reviewed united state november,service provider unlockedcolor natural titaniumsize gb,purchased renewed excellent condition unlocked amazon phone came looking pretty good small nick edge screen mm back phone fine battery level disappointing look like screen replaced apple care based phone record said phone apple care till sept thats small win phone work fine issue transferring data previous iphone connected verizon without problem ive purchased used iphones amazon seller amazon past year listed excellent condition different seller worked fine far saved ton money buying new,iphone 15 pro,battery,positive,battery purchased renewed excellent condition unlocked amazon phone came looking pretty good small nick edge screen mm back phone fine battery level disappointing look like screen replaced apple care based phone record said phone apple care till sept thats small win phone work fine issue transferring data previous iphone connected verizon without problem ive purchased used iphones amazon seller amazon past year listed excellent condition different seller worked fine far saved ton money buying new,5
amazon customer,5.0 out of 5 stars,lower price great product quality,reviewed mexico november,black global rom,good product date,poco m6 pro,other,positive,other good product date,5
fatima,5.0 out of 5 stars,samsung,reviewed italy january,black,taken daughter bad,samsung a14 5g,other,negative,other taken daughter bad,1
phone exactly looking gorgeous functional totally recommend find oneplus little bit pricey would pick another oneplus phone day week,5.0 out of 5 stars,excellent phone,reviewed united state february,size gbstyle green,phone exactly looking gorgeous functional totally recommend find oneplus little bit pricey would pick another oneplus phone day week,oneplus 12.csv,design,positive,design phone exactly looking gorgeous functional totally recommend find oneplus little bit pricey would pick another oneplus phone day week,5
lewis witherspoon,4.0 out of 5 stars,work great,reviewed united state march,service provider unlockedcolor black titaniumsize gb,excellent device,iphone 15 pro,other,positive,other excellent device,5
famiglia marasca,1.0 out of 5 stars,nfc present,reviewed italy august,black,device excellent globally lack possibility pay nfc present cannot modified even update maybe come noneuropean country,samsung a14 5g,software,positive,software device excellent globally lack possibility pay nfc present cannot modified even update maybe come noneuropean country,5
domi,3.0 out of 5 stars,good price,reviewed italy march,black,cell phone arrives right even cable charge,samsung a14 5g,battery,positive,battery cell phone arrives right even cable charge,5
ely,2.0 out of 5 stars,name,reviewed italy october,black,expected samsung product grainy photo memory problem restart often speakermicrophone issue maybe mine born badly,samsung a14 5g,camera,negative,camera expected samsung product grainy photo memory problem restart often speakermicrophone issue maybe mine born badly,1
igor,1.0 out of 5 stars,phone excellent condition,reviewed italy june,black,unfortunately even phone excellent condition camera app showed sign life make return bad forced give star,samsung a14 5g,battery,negative,battery unfortunately even phone excellent condition camera app showed sign life make return bad forced give star,1
carianna troupe,4.0 out of 5 stars,pretty good,reviewed united state april,service provider verizoncolor pinksize gb,love new phone pretty good price easy activation like pink battery life worth price id shop,iphone 13,battery,positive,battery love new phone pretty good price easy activation like pink battery life worth price id shop,5
jason l,3.0 out of 5 stars,slippery headphone jackexpanded memory,reviewed united state december,size gbstyle black,okay phone samsung note almost spec nearly decade old lack headphone jack serious issue nearly modern flagship phone ditto inability use microsd card expanding memoryso tired disregard small necessary item especially im dropping much money device also ergonomics phone horrendous without case phone unnecessarily slick dropped first one trying put case,oneplus 12.csv,performance,neutral,performance okay phone samsung note almost spec nearly decade old lack headphone jack serious issue nearly modern flagship phone ditto inability use microsd card expanding memoryso tired disregard small necessary item especially im dropping much money device also ergonomics phone horrendous without case phone unnecessarily slick dropped first one trying put case,3
dannyboy,5.0 out of 5 stars,refurbed,reviewed united state march,service provider unlockedcolor white titaniumsize gb,replaced iphone se iphone pro pro feature iphone pro much premium e pro litttle cost phone refurbished defect scratch charge cycle battery negative weight pro significantly heavier iphone se,iphone 15 pro,battery,neutral,battery replaced iphone se iphone pro pro feature iphone pro much premium e pro litttle cost phone refurbished defect scratch charge cycle battery negative weight pro significantly heavier iphone se,3
murphy,5.0 out of 5 stars,good value,reviewed united state june,service provider unlockedcolor black titaniumsize gb,excellent protection without adding unnecessary bulk like carry phone side pocket easily grip phone two finger remove easy hold without worrying dropping,iphone 15 pro,other,positive,other excellent protection without adding unnecessary bulk like carry phone side pocket easily grip phone two finger remove easy hold without worrying dropping,5
,4.0 out of 5 stars,decent,reviewed united state march,service provider unlockedcolor starlightsize gb,decent quality excellent battery life light wear screen,iphone 13,battery,positive,battery decent quality excellent battery life light wear screen,5
knut,5.0 out of 5 stars,good mobile phone low price,reviewed germany february,black,work well,samsung a14 5g,other,neutral,other work well,3
bailey kinder,5.0 out of 5 stars,factory reset,reviewed united state december,service provider unlockedcolor blue titaniumsize gb,phone factory reset received setting said something monitored factory reset went away seems good condition quite enjoying iphone pro switched pixel pixel around year think quite pleased purchase overall phone also shipped random small cardboard box instead apple box even branded box shipper something included cable apple cord random cheap looking usbc usbc cord short overall phone seems good shape,iphone 15 pro,design,positive,design phone factory reset received setting said something monitored factory reset went away seems good condition quite enjoying iphone pro switched pixel pixel around year think quite pleased purchase overall phone also shipped random small cardboard box instead apple box even branded box shipper something included cable apple cord random cheap looking usbc usbc cord short overall phone seems good shape,5
amazon customer,4.0 out of 5 stars,amazing terrible,reviewed united state february,service provider unlockedcolor blue titaniumsize gb,bought time month arrived like brand new expectation higharrived percent battery scratch frame addition dirt mouthpiece show sign use bit disappointing second hand normal price,iphone 15 pro,battery,neutral,battery bought time month arrived like brand new expectation higharrived percent battery scratch frame addition dirt mouthpiece show sign use bit disappointing second hand normal price,3
naromie,4.0 out of 5 stars,phone great wrong cable sent,reviewed united state march,service provider unlockedcolor starlightsize gb,phone great advised usbc lightning cable got usb cable instead luckily new usbc cable case would need one use usbc adapter bought phone,iphone 13,other,positive,other phone great advised usbc lightning cable got usb cable instead luckily new usbc cable case would need one use usbc adapter bought phone,5
giovant,1.0 out of 5 stars,terrible quality,reviewed italy october,black,product equivalent toy wasted money,samsung a14 5g,software,negative,software product equivalent toy wasted money,1
manfred pollak,3.0 out of 5 stars,bit disappointed,reviewed germany september,black,attached chargingdata cable usbc plug end making old charger unusable smart view function removed longer mirror screen tv,samsung a14 5g,battery,positive,battery attached chargingdata cable usbc plug end making old charger unusable smart view function removed longer mirror screen tv,5
kitty,2.0 out of 5 stars,phone,reviewed germany february,black,delivery absolutely punctual proper ive using mobile phone quite touch screen sometimes extremely slow reason unknown mobile phone sometimes doesnt start try start also impression aclass camera getting worse worse closeup heavily pixelated image blurred point suddenly button trigger camera taking closeup camera search hour even prodding doesnt result sharpness remote shot zoom completely indistinct ask whether im something wrong could still adjust answer bad far ive convinced samsung buyer unfortunately last cell phone longer convinced evil tongue say yes want price samsung even low price segment,samsung a14 5g,camera,negative,camera delivery absolutely punctual proper ive using mobile phone quite touch screen sometimes extremely slow reason unknown mobile phone sometimes doesnt start try start also impression aclass camera getting worse worse closeup heavily pixelated image blurred point suddenly button trigger camera taking closeup camera search hour even prodding doesnt result sharpness remote shot zoom completely indistinct ask whether im something wrong could still adjust answer bad far ive convinced samsung buyer unfortunately last cell phone longer convinced evil tongue say yes want price samsung even low price segment,1
juan pablo villanueva,3.0 out of 5 stars,good,reviewed mexico february,blue global rom,equipment good regularly receive message say equipment properly approved region purchased even though certified nom,poco m6 pro,software,positive,software equipment good regularly receive message say equipment properly approved region purchased even though certified nom,5
eduardo,5.0 out of 5 stars,gift,reviewed mexico july,black global rom,know worked perfect fast,poco m6 pro,performance,positive,performance know worked perfect fast,5
mel,1.0 out of 5 stars,month problem,reviewed germany july,black,actually great phone nfc must activated setting ive phone month display keep freezing randomly amazon offered send repair cant anything cell phone manufactured european market came back day later stress started didnt drop anything like sometimes work sometimes hang reset absolutely use still hope annoying,samsung a14 5g,screen,neutral,screen actually great phone nfc must activated setting ive phone month display keep freezing randomly amazon offered send repair cant anything cell phone manufactured european market came back day later stress started didnt drop anything like sometimes work sometimes hang reset absolutely use still hope annoying,3
wanda,5.0 out of 5 stars,optimal priceperformance ratio,reviewed italy august,black,great buy,samsung a14 5g,other,positive,other great buy,5
antonio romano,3.0 out of 5 stars,samsung galaxy g,reviewed italy november,black,okay midrange samsung galaxy consider without infamy without praise even come without fairly light power supply protective cover usb cable took brother much need however calculating offer euro adding protective cover failing power adapter would turned smartphone characteristic xiaomi oppo,samsung a14 5g,battery,positive,battery okay midrange samsung galaxy consider without infamy without praise even come without fairly light power supply protective cover usb cable took brother much need however calculating offer euro adding protective cover failing power adapter would turned smartphone characteristic xiaomi oppo,5
joseph p,5.0 out of 5 stars,great phone know carrier,reviewed united state september,size gbcolor black,really nice super lightweight huge screen big dual physical sim esim first thought maybe thats problem due limited carrier use nothing phone actually allows lighter simpler devicefeels like superpremium phone much lower cost hardware spec great pricecarriers dont let use nothing phone physical sims box att verizoncarriers tmobile googlefi,nothing 2a,screen,positive,screen really nice super lightweight huge screen big dual physical sim esim first thought maybe thats problem due limited carrier use nothing phone actually allows lighter simpler devicefeels like superpremium phone much lower cost hardware spec great pricecarriers dont let use nothing phone physical sims box att verizoncarriers tmobile googlefi,5
petcu liliana tania,1.0 out of 5 stars,good,reviewed italy september,black,ive using samsung many year thought time yearold son buy phone right im thinking whether phone real samsung work badly slow battery doesnt hold hour,samsung a14 5g,battery,positive,battery ive using samsung many year thought time yearold son buy phone right im thinking whether phone real samsung work badly slow battery doesnt hold hour,5
denia castro,3.0 out of 5 stars,report,reviewed united state may,service provider unlockedcolor white titaniumsize gb,translate review english,iphone 15 pro,other,neutral,other translate review english,3
,4.0 out of 5 stars,ram,reviewed united arab emirate february,blue global rom,high specification reasonable price,poco m6 pro,price,positive,price high specification reasonable price,5
sam,5.0 out of 5 stars,best phone ive every,reviewed united state june,size gbstyle green,battery apparently future pixel phone struggled make though day one apps charged end day sometimes dont bother plug sleep whydisplay super brightthe sound good havent bothered connect truck system dont need itthis phone weak spot slogan target say never settle buy something else settling scoring pretty low life iq testnote oneplus change slogan dont stupid,oneplus 12.csv,battery,neutral,battery battery apparently future pixel phone struggled make though day one apps charged end day sometimes dont bother plug sleep whydisplay super brightthe sound good havent bothered connect truck system dont need itthis phone weak spot slogan target say never settle buy something else settling scoring pretty low life iq testnote oneplus change slogan dont stupid,3
broe,4.0 out of 5 stars,battery,reviewed united state march,service provider unlockedcolor bluesize gb,phone really good condition problem battery health everything else great,iphone 13,battery,positive,battery phone really good condition problem battery health everything else great,5
ute riehm,2.0 out of 5 stars,recharge,reviewed germany february,black,problem charging cable kept falling week cell phone charge result plug carefully moved anything would fall bought problem nd cell phone buy dont hold charging cable correctly send back right away cell phone actually quite good otherwise work without problem,samsung a14 5g,battery,positive,battery problem charging cable kept falling week cell phone charge result plug carefully moved anything would fall bought problem nd cell phone buy dont hold charging cable correctly send back right away cell phone actually quite good otherwise work without problem,5
giovanna italiano,1.0 out of 5 stars,virtually unusable cable,reviewed italy july,black,bad say least honestly dont know cable without usb connection,samsung a14 5g,other,negative,other bad say least honestly dont know cable without usb connection,1
amazon customer,5.0 out of 5 stars,report,reviewed united state may,service provider unlockedcolor natural titaniumsize gb,translate review english,iphone 15 pro,other,neutral,other translate review english,3
chiara guagnini,3.0 out of 5 stars,problem screen,reviewed italy april,black,month purchase unfortunately problem touch screen freeze detect touch,samsung a14 5g,screen,negative,screen month purchase unfortunately problem touch screen freeze detect touch,1
smiguel,5.0 out of 5 stars,im happy,reviewed united state march,service provider unlockedcolor black titaniumsize gb,little skeptical buying refurbished product especially cost much read review people happy many said battery figured could return wasnt happy well arrived perfect condition battery good enough great phone camera awesome,iphone 15 pro,battery,positive,battery little skeptical buying refurbished product especially cost much read review people happy many said battery figured could return wasnt happy well arrived perfect condition battery good enough great phone camera awesome,5
jens,2.0 out of 5 stars,defective month,reviewed germany june,black,smartphone already cheaply made outside defect two month use screen simply remains black advise purchase device longer anything previously known quality predecessor mobile phone,samsung a14 5g,screen,neutral,screen smartphone already cheaply made outside defect two month use screen simply remains black advise purchase device longer anything previously known quality predecessor mobile phone,3
sharlene,5.0 out of 5 stars,people found helpful,reviewed united state march,service provider unlockedcolor natural titaniumsize gb,report,iphone 15 pro,other,neutral,other report,3
amazon customer,5.0 out of 5 stars,needed phone amazon rescue,reviewed united state april,service provider unlockedcolor starlightsize gb,well iphone pro stopped working fortunately amazon ordered phone iphone itll job update new phone somewhere road look like gonna come work fine little lighter iphone pro like,iphone 13,design,positive,design well iphone pro stopped working fortunately amazon ordered phone iphone itll job update new phone somewhere road look like gonna come work fine little lighter iphone pro like,5
michele g,1.0 out of 5 stars,failure repair item warranty,reviewed italy december,black,product covered u warranty purchased europe samsung warranty provided warranty application requested amazon generated shipping code repair center item returned unrepaired wording item warranty u like bought item italian hope doesnt break,samsung a14 5g,other,neutral,other product covered u warranty purchased europe samsung warranty provided warranty application requested amazon generated shipping code repair center item returned unrepaired wording item warranty u like bought item italian hope doesnt break,3
antonio romano,3.0 out of 5 stars,samsung galaxy g,reviewed italy november,black,okay midrange samsung galaxy consider without infamy without praise even come without fairly light power supply protective cover usb cable took brother much need however calculating offer euro adding protective cover failing power adapter would turned smartphone characteristic xiaomi oppo,samsung a14 5g,battery,positive,battery okay midrange samsung galaxy consider without infamy without praise even come without fairly light power supply protective cover usb cable took brother much need however calculating offer euro adding protective cover failing power adapter would turned smartphone characteristic xiaomi oppo,5
